label,id
仁,仁
义,义
礼,礼
知,知
信,信
孝,孝
弟,弟
忠,忠
勇,勇
君子,君子
小人,小人
天,天
命,命
天命,天命
利,利
性,性
友,友
道,道
德,德
敬,敬
爱,爱
文,文
学,学
言,言
行,行
思,思
政,政
恭,恭
俭,俭
让,让
诗,诗
乐,乐
己,己
人,人
艺,艺
君,君
臣,臣
父,父
宽,宽
敏,敏
惠,惠
恕,恕
生,生
死,死
鬼,鬼
神,神
亲,亲
贫,贫
富,富
直,直
民,民
邦,邦
家,家
国,国
圣,圣
贤,贤
正,正
达,达
耻,耻
节,节
