Source,Target,Weight
生,富,2
义,学,2
贫,言,2
天,宽,2
信,宽,2
行,宽,2
父,直,2
行,弟,2
父,言,2
父,行,2
父,信,2
行,家,2
行,直,2
己,忠,2
达,天,2
行,节,2
文,信,2
宽,敏,2
宽,人,2
宽,仁,2
俭,邦,2
君,道,2
天,邦,2
君,政,2
耻,邦,2
君,友,2
君,君子,2
信,恭,2
恭,道,2
恭,惠,2
让,民,2
信,臣,2
恭,民,2
耻,礼,2
恭,邦,2
道,爱,2
道,正,2
耻,人,2
道,命,2
道,敬,2
学,邦,2
文,道,2
道,友,2
己,学,2
亲,礼,2
己,小人,2
信,弟,2
学,诗,2
文,臣,2
道,富,2
达,邦,2
臣,知,2
让,人,2
臣,言,2
臣,德,2
臣,命,2
学,友,2
孝,信,2
臣,礼,2
臣,邦,2
爱,言,2
达,行,2
己,君,2
爱,君子,2
爱,礼,2
爱,富,2
惠,民,2
己,恭,2
惠,仁,2
己,道,2
学,贤,2
神,知,2
文,德,2
弟,言,2
信,敏,2
弟,友,2
学,命,2
亲,行,2
弟,君子,2
鬼,知,2
己,敏,2
学,德,2
正,民,2
学,敏,2
正,仁,2
信,德,2
己,敬,2
知,利,2
耻,政,2
知,命,2
知,敬,2
知,天命,2
学,正,2
信,命,2
知,家,2
己,友,2
学,爱,2
学,君,2
知,诗,2
孝,言,2
学,勇,2
亲,民,2
知,富,2
学,天,2
政,利,2
文,仁,2
学,父,2
行,惠,2
耻,恭,2
孝,敬,2
忠,义,2
忠,学,2
孝,仁,2
政,邦,2
利,言,2
利,命,2
利,人,2
信,贤,2
利,君子,2
利,邦,2
忠,恭,2
敏,民,2
天,政,2
信,直,2
敏,君子,2
忠,道,2
天,爱,2
小人,信,2
让,君子,2
忠,爱,2
让,礼,2
死,礼,2
忠,政,2
耻,行,2
学,耻,2
忠,言,2
小人,行,2
学,贫,2
忠,仁,2
言,富,2
忠,君子,2
死,邦,2
义,富,2
德,仁,2
国,天,2
命,敬,2
忠,邦,2
命,仁,2
命,思,2
乐,学,2
国,让,2
命,富,2
义,仁,2
死,恭,2
小人,知,2
敬,思,2
信,邦,2
勇,道,2
乐,国,2
小人,政,2
义,命,2
义,德,2
义,利,2
民,邦,2
贤,家,2
国,信,2
乐,天,2
贤,仁,2
贤,君子,2
贤,邦,2
小人,德,2
达,知,2
家,君子,2
义,鬼,2
乐,勇,2
乐,道,2
友,君子,2
贫,邦,2
让,邦,2
乐,臣,2
直,礼,2
乐,正,2
乐,政,2
勇,民,2
乐,命,2
乐,民,2
乐,贤,2
小人,民,2
贫,仁,2
乐,诗,2
国,道,2
义,达,2
乐,富,2
思,君子,2
节,君子,2
节,礼,2
国,邦,2
达,言,2
天,家,2
礼,富,2
礼,邦,2
让,言,1
让,德,1
忠,思,1
忠,礼,1
让,仁,1
忠,富,1
乐,文,1
乐,贫,1
信,勇,1
乐,死,1
乐,艺,1
乐,父,1
乐,让,1
乐,信,1
乐,君,1
乐,爱,1
信,惠,1
乐,家,1
信,正,1
乐,友,1
乐,思,1
乐,节,1
恕,行,1
恕,道,1
恕,言,1
生,学,1
生,文,1
生,艺,1
生,父,1
生,信,1
生,勇,1
生,君,1
信,节,1
生,神,1
生,鬼,1
生,正,1
生,利,1
勇,行,1
勇,恭,1
生,敏,1
勇,鬼,1
生,敬,1
勇,利,1
生,民,1
勇,德,1
勇,命,1
生,贤,1
生,家,1
生,直,1
生,思,1
勇,思,1
生,邦,1
义,文,1
勇,邦,1
义,耻,1
义,死,1
义,艺,1
义,亲,1
义,天,1
行,爱,1
亲,富,1
义,君,1
义,臣,1
义,爱,1
义,惠,1
行,利,1
义,神,1
义,家,1
行,德,1
义,直,1
义,节,1
义,邦,1
行,贤,1
学,圣,1
学,孝,1
学,国,1
学,达,1
行,思,1
学,亲,1
学,让,1
学,政,1
行,富,1
学,敬,1
宽,恭,1
宽,臣,1
宽,惠,1
宽,政,1
学,天命,1
宽,命,1
宽,敬,1
宽,民,1
学,直,1
学,富,1
宽,礼,1
宽,富,1
俭,君,1
俭,恭,1
俭,知,1
俭,政,1
俭,人,1
文,小人,1
文,贫,1
文,耻,1
文,孝,1
君,弟,1
君,正,1
文,国,1
文,死,1
文,艺,1
文,亲,1
君,敬,1
君,民,1
君,贤,1
文,勇,1
文,君,1
君,诗,1
君,节,1
文,爱,1
文,弟,1
文,知,1
文,政,1
文,利,1
恭,弟,1
恭,正,1
恭,知,1
恭,政,1
恭,敏,1
文,敏,1
恭,命,1
文,命,1
文,民,1
恭,贤,1
恭,家,1
恭,友,1
恭,直,1
文,贤,1
文,家,1
恭,思,1
文,友,1
文,思,1
恭,富,1
文,邦,1
小人,圣,1
小人,耻,1
道,惠,1
道,弟,1
小人,孝,1
小人,达,1
小人,勇,1
道,敏,1
小人,君,1
小人,爱,1
小人,惠,1
小人,弟,1
小人,利,1
小人,命,1
道,家,1
小人,敬,1
小人,天命,1
小人,仁,1
小人,礼,1
圣,艺,1
圣,达,1
圣,天,1
圣,道,1
圣,弟,1
圣,正,1
圣,天命,1
臣,敏,1
圣,民,1
贫,耻,1
贫,国,1
臣,民,1
臣,家,1
贫,死,1
臣,仁,1
臣,节,1
贫,天,1
贫,信,1
臣,富,1
贫,勇,1
爱,弟,1
爱,知,1
贫,臣,1
爱,德,1
爱,敬,1
爱,民,1
爱,直,1
贫,知,1
贫,德,1
爱,节,1
贫,家,1
贫,诗,1
贫,礼,1
惠,正,1
惠,政,1
惠,利,1
惠,敏,1
惠,言,1
惠,德,1
惠,敬,1
耻,孝,1
耻,死,1
耻,亲,1
耻,天,1
耻,君,1
耻,弟,1
神,敬,1
神,民,1
神,人,1
神,仁,1
弟,正,1
弟,知,1
耻,敏,1
耻,德,1
耻,命,1
弟,敬,1
耻,民,1
耻,友,1
耻,君子,1
弟,诗,1
耻,富,1
弟,礼,1
弟,富,1
孝,死,1
鬼,敬,1
鬼,民,1
鬼,人,1
鬼,仁,1
正,知,1
孝,亲,1
正,利,1
正,敏,1
孝,君,1
正,命,1
孝,臣,1
孝,爱,1
孝,神,1
孝,鬼,1
正,礼,1
孝,民,1
孝,友,1
知,敏,1
孝,君子,1
知,德,1
孝,礼,1
国,亲,1
国,勇,1
国,行,1
国,宽,1
国,爱,1
国,敏,1
国,德,1
国,敬,1
国,节,1
知,思,1
国,富,1
死,父,1
死,臣,1
死,爱,1
死,神,1
死,鬼,1
政,敏,1
死,正,1
死,政,1
死,敬,1
死,贤,1
政,贤,1
政,友,1
死,家,1
死,友,1
政,诗,1
艺,达,1
艺,天,1
政,富,1
艺,勇,1
艺,道,1
艺,政,1
利,民,1
利,贤,1
利,家,1
利,友,1
艺,利,1
艺,言,1
利,思,1
艺,德,1
利,礼,1
艺,命,1
艺,人,1
敏,命,1
艺,仁,1
敏,家,1
艺,思,1
艺,君子,1
艺,礼,1
敏,礼,1
敏,富,1
敏,邦,1
达,父,1
达,道,1
达,爱,1
言,天命,1
达,利,1
达,民,1
达,家,1
达,诗,1
达,君子,1
达,富,1
亲,天,1
亲,勇,1
亲,宽,1
亲,爱,1
亲,弟,1
亲,正,1
亲,政,1
亲,敏,1
德,家,1
德,直,1
亲,德,1
亲,命,1
亲,直,1
德,礼,1
德,富,1
德,邦,1
孝,命,1
命,民,1
父,天,1
己,恕,1
己,义,1
命,节,1
己,圣,1
己,耻,1
己,孝,1
父,爱,1
父,弟,1
父,知,1
己,死,1
敬,节,1
父,利,1
己,达,1
敬,富,1
敬,邦,1
天命,人,1
天命,君子,1
民,家,1
父,敬,1
父,贤,1
父,友,1
民,节,1
己,天,1
己,惠,1
民,富,1
父,仁,1
父,诗,1
父,君子,1
父,礼,1
父,邦,1
贤,思,1
贤,节,1
天,让,1
贤,礼,1
贤,富,1
己,弟,1
家,直,1
己,正,1
己,政,1
天,君,1
家,富,1
己,命,1
友,直,1
己,家,1
己,礼,1
友,节,1
己,邦,1
友,礼,1
友,邦,1
天,惠,1
天,弟,1
性,文,1
性,天,1
直,富,1
性,道,1
性,言,1
人,思,1
忠,恕,1
忠,生,1
天,敬,1
忠,文,1
天,贤,1
仁,思,1
忠,孝,1
天,直,1
忠,死,1
忠,君,1
诗,思,1
诗,君子,1
忠,臣,1
诗,富,1
忠,知,1
思,礼,1
忠,德,1
忠,民,1
让,勇,1
让,俭,1
让,恭,1
让,知,1
让,政,1
富,邦,1
