+	己	性	忠	乐	恕	生	义	学	文	小人	圣	贫	耻	孝	国	死	艺	达	亲	父	天	让	信	勇	行	宽	俭	君	恭	道	臣	爱	惠	神	弟	鬼	正	知	政	利	敏	言	德	命	敬	天命	民	贤	家	友	直	人	仁	诗	思	节	君子	礼	富	邦
惠	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	2	0	0	0	0	3	2	0	0	0	3	0	0	0
神	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
弟	1	0	0	0	0	3	0	5	1	1	1	0	1	6	0	4	0	0	1	1	1	0	2	0	2	0	0	1	1	1	0	1	0	0	0	0	1	1	3	0	0	2	0	4	1	0	0	0	0	2	0	5	3	1	0	0	2	1	1	0
鬼	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
正	1	0	0	2	0	1	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	1	1	2	0	0	1	0	1	0	0	1	4	1	1	5	0	1	0	0	2	0	0	0	0	5	2	0	0	0	4	1	0	0
知	5	0	1	12	0	6	3	7	1	2	2	1	0	0	2	3	2	2	0	1	7	1	3	6	7	0	1	4	1	6	2	1	0	2	1	2	1	0	3	2	1	13	1	2	2	2	7	4	2	0	4	24	16	2	1	3	13	12	2	7
政	1	0	2	2	0	0	0	1	1	2	0	0	2	3	2	1	1	3	1	3	2	1	4	0	5	1	1	2	1	3	4	0	1	0	3	0	4	3	0	2	1	4	5	3	0	0	6	1	0	1	0	7	3	1	0	0	3	3	1	2
利	0	0	0	3	0	1	2	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0	2	0	2	0	0	1	1	1	1	0	2	4	0	1	0	2	1	0	2
敏	2	0	0	0	0	1	0	2	1	0	0	0	1	0	1	0	0	0	1	0	3	0	2	0	3	2	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	3	0	1	0	0	2	0	1	0	0	4	4	0	0	0	2	1	1	1
言	5	1	2	6	1	3	6	8	5	3	2	2	5	2	3	3	1	2	3	2	5	1	9	4	19	0	0	5	4	9	2	2	1	0	2	0	5	13	4	2	3	0	6	4	3	1	4	3	4	3	3	26	11	5	3	0	19	11	2	9
